t,ankle
5.27,-9.4833157
5.28,-9.59417385
5.29,-9.7256517
5.3,-9.88444431
5.31,-10.03671013
5.32,-10.18525002
5.33,-10.31442153
5.34,-10.41481697
5.35,-10.49361367
5.36,-10.55595294
5.37,-10.57679641
5.38,-10.573713
