t,ankle
4.21,-4.52450054
4.22,-4.24609581
4.23,-3.97531847
4.24,-3.70554065
4.25,-3.43350249
4.26,-3.18413251
4.27,-2.96357221
4.28,-2.77219592
4.29,-2.60458246
4.3,-2.45040686
4.31,-2.35661815
4.32,-2.32775353
4.33,-2.37927633
4.34,-2.55662841
4.35,-2.81843882
4.36,-3.26498098
4.37,-3.86415691
4.38,-4.69348786
4.39,-5.72594118
4.4,-6.97129444
4.41,-8.47530752
4.42,-10.18825853
4.43,-12.07890076
4.44,-14.09807292
4.45,-16.10348398
4.46,-18.07264146
4.47,-19.84315656
4.48,-21.33135004
4.49,-22.57607992
4.5,-23.43780722
4.51,-23.9369415
4.52,-24.13847329
4.53,-24.08802693
4.54,-23.82411918
4.55,-23.40419434
4.56,-22.87880019
4.57,-22.28785819
4.58,-21.65945621
4.59,-21.00379343
4.6,-20.3470171
4.61,-19.68298225
4.62,-19.01496185
4.63,-18.3704169
4.64,-17.71980566
4.65,-17.12399971
4.66,-16.57142631
4.67,-16.06036238
4.68,-15.60439143
4.69,-15.2236018
4.7,-14.90072449
4.71,-14.62188554
4.72,-14.41705061
4.73,-14.26309372
4.74,-14.14551323
4.75,-14.0384284
4.76,-13.96009638
4.77,-13.89165127
4.78,-13.81718339
4.79,-13.73587463
4.8,-13.64235987
4.81,-13.54155166
4.82,-13.43124125
4.83,-13.31140649
4.84,-13.19494583
4.85,-13.07476371
4.86,-12.95567011
4.87,-12.8328786
4.88,-12.70945344
4.89,-12.58854791
4.9,-12.47718517
4.91,-12.38909873
4.92,-12.39364714
4.93,-12.3709419
4.94,-12.49019056
4.95,-12.72228329
4.96,-13.11156938
4.97,-13.62688283
4.98,-14.28916086
4.99,-15.04818733
5,-15.87638262
5.01,-16.70707448
5.02,-17.50983134
5.03,-18.20923409
5.04,-18.83118106
5.05,-19.33144316
5.06,-19.68886663
5.07,-19.93534148
5.08,-20.07773624
5.09,-20.13619504
5.1,-20.14072618
5.11,-20.05684338
5.12,-19.96312158
5.13,-19.80050088
5.14,-19.5674843
5.15,-19.32215329
5.16,-18.97849307
5.17,-18.60839707
5.18,-18.16907971
5.19,-17.68272224
5.2,-17.16201953
5.21,-16.61884134
5.22,-16.07080575
5.23,-15.5259335
5.24,-15.00759807
5.25,-14.50790325
5.26,-14.02708237
5.27,-13.56547967
5.28,-13.13308233
5.29,-12.71072939
5.3,-12.31615169
5.31,-11.89679316
5.32,-11.5125396
5.33,-11.11787784
5.34,-10.72483137
5.35,-10.37801491
5.36,-10.0248318
5.37,-9.69633621
5.38,-9.37630975
5.39,-9.08437065
5.4,-8.80706617
5.41,-8.54733845
5.42,-8.30347682
5.43,-8.05456482
5.44,-7.8096023
5.45,-7.59301839
5.46,-7.36299906
5.47,-7.14552539
5.48,-6.91833503
5.49,-6.6974662
5.5,-6.44061397
5.51,-6.20599435
5.52,-5.98946131
5.53,-5.73876107
5.54,-5.46074451
5.55,-5.21094935
5.56,-4.95899791
5.57,-4.70511601
5.58,-4.45807606
5.59,-4.21874806
5.6,-4.00206654
5.61,-3.78318026
5.62,-3.58684893
5.63,-3.4330134
5.64,-3.33834037
5.65,-3.24389657
5.66,-3.21918206
5.67,-3.28527163
5.68,-3.42978459
5.69,-3.71224398
5.7,-4.09444594
5.71,-4.6249951
5.72,-5.34326682
5.73,-6.22208525
5.74,-7.33333408
5.75,-8.69317093
5.76,-10.25202337
5.77,-12.00305303
5.78,-13.95428466
5.79,-16.0264894
5.8,-18.11231524
5.81,-20.13606193
5.82,-22.00134599
5.83,-23.59101754
5.84,-24.84586321
5.85,-25.75399414
5.86,-26.28407731
5.87,-26.42998873
5.88,-26.26328885
5.89,-25.84283259
5.9,-25.21124934
5.91,-24.44525534
