t,knee
3.49,-54.42094668
3.5,-55.54823087
3.51,-56.46729374
3.52,-57.17758533
3.53,-57.66722025
3.54,-57.94761018
3.55,-58.01239537
3.56,-57.86846825
3.57,-57.51589851
3.58,-56.9604186
3.59,-56.21259918
3.6,-55.26958004
3.61,-54.14383044
3.62,-52.84251747
3.63,-51.37151803
3.64,-49.73710829
3.65,-47.95225511
3.66,-46.01976595
3.67,-43.95410896
3.68,-41.76223854
3.69,-39.45371963
3.7,-37.03299749
3.71,-34.52045898
3.72,-31.91514269
3.73,-29.23089375
3.74,-26.4852526
3.75,-23.7010634
3.76,-20.89562274
3.77,-18.12078328
3.78,-15.42480182
3.79,-12.86739282
3.8,-10.51326481
3.81,-8.42241115
3.82,-6.63679226
3.83,-5.18795261
3.84,-4.0898359
3.85,-3.3559788
3.86,-2.92538861
3.87,-2.82414141
3.88,-2.97406105
3.89,-3.35378587
3.9,-3.92708537
3.91,-4.66025379
3.92,-5.52591966
3.93,-6.51757387
3.94,-7.54903196
3.95,-8.64573045
3.96,-9.77797858
3.97,-10.94119176
3.98,-12.05366836
3.99,-13.16490184
4,-14.25143473
4.01,-15.25556894
4.02,-16.23835348
4.03,-17.18114401
4.04,-18.03744563
4.05,-18.84958491
4.06,-19.60711165
4.07,-20.23963405
4.08,-20.81710604
4.09,-21.20524604
4.1,-21.51621667
4.11,-21.69450618
4.12,-21.72123255
4.13,-21.60783098
4.14,-21.35502473
4.15,-20.98005127
4.16,-20.5160695
4.17,-19.93380928
4.18,-19.33404633
4.19,-18.72046355
4.2,-18.05485228
4.21,-17.3930288
4.22,-16.74434831
4.23,-16.06099625
4.24,-15.35086298
4.25,-14.68356316
4.26,-13.98545567
4.27,-13.24552861
4.28,-12.57690997
4.29,-11.87320505
4.3,-11.1796222
4.31,-10.52312422
4.32,-9.85492466
4.33,-9.25727417
4.34,-8.72770241
4.35,-8.25591202
4.36,-7.85415472
4.37,-7.53676603
4.38,-7.30703566
4.39,-7.16343108
4.4,-7.12470703
4.41,-7.18888798
4.42,-7.35519654
4.43,-7.62846631
4.44,-8.01435253
4.45,-8.49754822
4.46,-9.0749158
4.47,-9.77085047
4.48,-10.5746648
4.49,-11.49986178
4.5,-12.54700057
4.51,-13.72982614
4.52,-15.04692623
4.53,-16.49247003
4.54,-18.12891171
4.55,-19.90938989
4.56,-21.8688174
4.57,-24.00111387
4.58,-26.30650747
4.59,-28.76245069
4.6,-31.38139249
4.61,-34.06269235
4.62,-36.82250441
4.63,-39.58799107
4.64,-42.31903117
4.65,-44.96621649
4.66,-47.48897159
4.67,-49.8707243
4.68,-52.07556712
4.69,-54.09996324
4.7,-55.91146149
4.71,-57.49517438
4.72,-58.84552941
4.73,-59.94370108
4.74,-60.80391637
4.75,-61.41164071
4.76,-61.7361379
