t,Angle
4.72,-13.38927395
4.73,-13.38915033
4.74,-13.39905889
4.75,-13.40496608
4.76,-13.59879564
4.77,-13.6008524
4.78,-13.60619508
4.79,-13.61231328
4.8,-13.62216576
4.81,-13.62175574
4.82,-13.64226137
4.83,-13.64188544
4.84,-13.66495506
4.85,-13.66454681
4.86,-13.66569833
4.87,-13.69433774
4.88,-13.69407066
4.89,-13.69532795
4.9,-13.69819234
4.91,-13.74418894
4.92,-13.74462562
4.93,-13.75569665
4.94,-13.75595067
4.95,-13.76595186
4.96,-13.7662927
4.97,-13.77622098
4.98,-13.77630795
4.99,-13.77826714
5,-13.77838668
5.01,-13.78973416
5.02,-13.78884117
5.03,-13.7888252
5.04,-13.79261502
5.05,-13.79242577
5.06,-13.79155648
5.07,-13.79152221
5.08,-13.79136559
5.09,-13.79166969
5.1,-13.79172051
5.11,-13.79282889
5.12,-13.79764182
5.13,-13.79766615
5.14,-13.79855762
5.15,-13.80652135
5.16,-13.80696961
5.17,-13.80851794
5.18,-13.81023376
5.19,-13.81220681
5.2,-13.81458562
5.21,-13.8219474
5.22,-13.82197336
5.23,-13.82244933
5.24,-13.82543661
5.25,-13.82515438
5.26,-13.82545845
5.27,-13.82613464
5.28,-13.82697206
5.29,-13.82804861
5.3,-13.82916488
5.31,-13.83032075
5.32,-13.83659128
5.33,-13.83606236
5.34,-13.83607701
5.35,-13.83650647
5.36,-13.83732005
5.37,-13.83741925
5.38,-13.83817501
5.39,-13.84839907
5.4,-13.84848303
5.41,-13.84910278
5.42,-13.84926369
5.43,-13.84937452
5.44,-13.85526381
5.45,-13.85536296
5.46,-13.85549775
5.47,-13.85671734
5.48,-13.85675794
5.49,-13.85677365
5.5,-13.85683552
5.51,-13.85683552
5.52,-13.85851287
