t,knee
4.98,-28.77967471
4.99,-29.57386105
5,-30.31272884
5.01,-30.98869985
5.02,-31.59361166
5.03,-32.12547199
5.04,-32.58239832
5.05,-32.96095591
5.06,-33.25559364
5.07,-33.4890299
5.08,-33.59180038
5.09,-33.66388479
5.1,-33.64776673
5.11,-33.56284548
5.12,-33.41776923
5.13,-33.18392747
5.14,-32.88594421
5.15,-32.52023029
5.16,-32.10403268
5.17,-31.62073778
5.18,-31.08012777
5.19,-30.51688467
5.2,-29.91211729
5.21,-29.29345748
5.22,-28.66682131
5.23,-28.03290894
5.24,-27.41044038
5.25,-26.78921538
5.26,-26.17512952
5.27,-25.58918609
5.28,-24.99238441
5.29,-24.38833652
5.3,-23.776551
5.31,-23.15670616
5.32,-22.51860177
5.33,-21.86190704
5.34,-21.17689941
5.35,-20.47248855
5.36,-19.74006264
5.37,-18.98854137
5.38,-18.22357304
5.39,-17.4538368
5.4,-16.6821789
5.41,-15.91833198
5.42,-15.16838824
5.43,-14.43887574
5.44,-13.73375138
5.45,-13.05693725
5.46,-12.41306313
5.47,-11.79755754
5.48,-11.21705136
5.49,-10.67718884
5.5,-10.1421721
5.51,-9.65093478
5.52,-9.17411686
5.53,-8.70916231
5.54,-8.29757438
5.55,-7.9036729
5.56,-7.55174895
5.57,-7.25869415
5.58,-7.02427886
5.59,-6.85369492
5.6,-6.74166008
5.61,-6.67441528
5.62,-6.6192494
