t,ankle
4.21,5.37604461
4.22,5.0978901
4.23,4.73940528
4.24,4.30426796
4.25,3.76403929
4.26,3.1403933
4.27,2.44153864
4.28,1.60235897
4.29,0.6851577
4.3,-0.38820625
4.31,-1.59079404
4.32,-2.93247086
4.33,-4.39975161
4.34,-5.97751695
4.35,-7.65980426
4.36,-9.38715434
4.37,-11.12469961
4.38,-12.80189691
4.39,-14.3500122
4.4,-15.7160715
4.41,-16.83455309
4.42,-17.67534486
4.43,-18.22066591
4.44,-18.49009808
4.45,-18.48742403
4.46,-18.25871726
4.47,-17.86908192
4.48,-17.3447694
4.49,-16.73894464
4.5,-16.06559318
4.51,-15.36437648
4.52,-14.65130649
4.53,-13.93022806
4.54,-13.22149597
4.55,-12.51397953
4.56,-11.80680576
4.57,-11.11494567
4.58,-10.45415322
4.59,-9.84140876
4.6,-9.27123633
4.61,-8.76299802
4.62,-8.31010776
4.63,-7.91346386
4.64,-7.56837552
4.65,-7.27291925
4.66,-7.02919305
4.67,-6.81250608
4.68,-6.63587062
4.69,-6.48870177
4.7,-6.37340231
4.71,-6.28884464
4.72,-6.22679937
4.73,-6.18717984
4.74,-6.17096991
4.75,-6.17362269
4.76,-6.19241299
4.77,-6.22245179
4.78,-6.26152355
4.79,-6.31224267
4.8,-6.36560894
4.81,-6.41366665
4.82,-6.47249869
4.83,-6.53291849
4.84,-6.57708473
4.85,-6.61876862
4.86,-6.66341533
4.87,-6.70873063
4.88,-6.76313821
4.89,-6.82344827
4.9,-6.9056524
4.91,-7.02132044
4.92,-7.17336254
4.93,-7.35830244
4.94,-7.5758568
4.95,-7.8300989
4.96,-8.09634078
4.97,-8.36660342
4.98,-8.62947517
4.99,-8.85338772
5,-9.0391362
5.01,-9.15713168
5.02,-9.1962415
5.03,-9.14364536
5.04,-9.0199728
5.05,-8.79365557
5.06,-8.48862568
5.07,-8.11372343
5.08,-7.70685907
5.09,-7.22042023
5.1,-6.7234756
5.11,-6.1683212
5.12,-5.63801712
5.13,-5.12303666
5.14,-4.63566729
5.15,-4.18679182
5.16,-3.7917869
5.17,-3.44132623
5.18,-3.12493014
5.19,-2.88404694
5.2,-2.64653322
5.21,-2.45692139
5.22,-2.28536404
5.23,-2.11801081
5.24,-1.95107677
5.25,-1.76649098
5.26,-1.58035694
5.27,-1.3973459
5.28,-1.20084243
5.29,-0.99629
5.3,-0.79041261
5.31,-0.57819042
5.32,-0.37199093
5.33,-0.1698567
5.34,0.03668041
5.35,0.23035973
5.36,0.4301634
5.37,0.61224102
5.38,0.78290214
5.39,0.95675004
5.4,1.12219197
5.41,1.29064807
5.42,1.46208694
5.43,1.64147106
5.44,1.83099241
5.45,2.02872012
5.46,2.23893035
5.47,2.46342043
5.48,2.6951136
5.49,2.92121052
5.5,3.15971741
5.51,3.38515434
5.52,3.60478966
5.53,3.82811372
5.54,4.00661929
5.55,4.16713492
5.56,4.30511136
5.57,4.42367274
5.58,4.51443991
5.59,4.58075793
5.6,4.63294667
5.61,4.66492942
5.62,4.67564856
